,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
158,Provideniya,RU,64.3833,-173.3,7.84,91,6,8.28,clear sky
159,Moree,AU,-29.4667,149.85,77.61,46,68,10.56,broken clouds
160,Mogadishu,SO,2.0371,45.3438,81.5,74,21,14.54,few clouds
161,Linhares,BR,-19.3911,-40.0722,85.41,57,46,9.71,scattered clouds
162,Chunskiy,RU,56.0815,99.6342,10.54,91,100,2.64,overcast clouds
163,Port Blair,IN,11.6667,92.75,80.92,83,100,7.27,overcast clouds
164,Port Elizabeth,ZA,-33.918,25.5701,68.09,60,13,15.28,few clouds
165,Kutahya,TR,39.4242,29.9833,41.54,85,100,5.23,overcast clouds
166,Manokwari,ID,-0.8667,134.0833,79.9,77,69,2.08,broken clouds
167,Port-Cartier,CA,50.0334,-66.8654,36.75,79,100,10.29,overcast clouds
168,Trincomalee,LK,8.5711,81.2335,80.71,80,99,7.96,overcast clouds
169,Kavaratti,IN,10.5669,72.642,81.59,73,100,16.44,overcast clouds
170,Carnarvon,AU,-24.8667,113.6333,68.97,73,0,20.42,clear sky
171,Kidal,ML,18.4411,1.4078,92.53,10,30,6.29,scattered clouds
172,Kawalu,ID,-7.3817,108.2082,72.07,97,100,1.5,light rain
173,Manyana,BW,-23.4,21.7167,92.23,14,6,3.98,clear sky
174,Loudi,CN,27.7344,111.9944,63.59,79,97,2.42,overcast clouds
175,Ahipara,NZ,-35.1667,173.1667,56.05,78,100,3.09,overcast clouds
176,Kamaishi,JP,39.2667,141.8833,53.1,70,21,7.7,few clouds
177,Opuwo,NA,-18.0607,13.84,93.51,16,90,7.02,overcast clouds
178,Guia Lopes Da Laguna,BR,-21.4578,-56.1142,74.12,81,96,2.71,overcast clouds
179,Souillac,MU,-20.5167,57.5167,78.37,72,27,11.65,scattered clouds
180,Odweyne,SO,9.4092,45.064,79.47,24,16,14.88,few clouds
181,Hofn,IS,64.2539,-15.2082,38.64,62,87,5.93,overcast clouds
182,Union,US,40.6334,-74.2663,44.98,56,1,12.66,clear sky
183,Neuquen,AR,-38.9516,-68.0591,67.89,52,0,6.91,clear sky
184,General Pico,AR,-35.6566,-63.7568,73.26,31,3,6.76,clear sky
185,Chokurdakh,RU,70.6333,147.9167,-20.61,100,94,2.39,overcast clouds
186,Ajjampur,IN,13.7281,76.0094,69.39,95,100,2.57,overcast clouds
187,Yabrud,SY,33.9674,36.6574,45.52,58,100,3.13,overcast clouds
188,Pervomayskoye,RU,43.919,46.7102,47.01,73,100,4.63,overcast clouds
189,Santo Andre,BR,-23.6639,-46.5383,68.13,97,100,5.48,overcast clouds
190,San Policarpo,PH,12.1791,125.5072,80.35,82,96,5.12,overcast clouds
191,Faya,SA,18.3851,42.4509,64.92,60,28,9.28,scattered clouds
192,Stephenville,US,32.2207,-98.2023,42.17,60,1,0.0,clear sky
193,Brae,GB,60.3964,-1.353,49.91,78,70,20.27,broken clouds
194,Iquique,CL,-20.2208,-70.1431,66.56,64,4,6.22,clear sky
195,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,70,40,8.01,volcanic ash
196,Iowa City,US,41.6611,-91.5302,25.56,79,1,4.61,clear sky
197,Tursunzoda,TJ,38.5144,68.2333,36.48,52,0,0.89,clear sky
198,Amazar,RU,53.858,120.875,3.18,97,49,2.8,scattered clouds
199,Chicama,PE,-7.8447,-79.1469,68.18,76,100,5.23,overcast clouds
200,Campbell River,CA,50.0163,-125.2446,34.27,98,18,5.77,few clouds
201,Vao,NC,-22.6667,167.4833,71.8,85,100,16.67,light rain
202,Dunmore East,IE,52.1514,-6.9861,54.23,78,59,11.45,broken clouds
203,Teahupoo,PF,-17.8333,-149.2667,71.56,69,84,18.28,broken clouds
204,Ende,ID,-8.8432,121.6623,79.11,85,77,2.91,broken clouds
205,Sakakah,SA,29.9697,40.2064,71.02,33,3,10.96,clear sky
206,Adeje,ES,28.1227,-16.726,70.9,52,20,14.97,few clouds
207,Diamantina,BR,-18.2494,-43.6003,72.81,72,93,8.5,light rain
208,Yerbogachen,RU,61.2767,108.0108,8.76,94,100,6.98,overcast clouds
209,Governador Valadares,BR,-18.8511,-41.9494,79.54,73,99,3.49,overcast clouds
