,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
456,General Jose Eduvigis Diaz,PY,82.06,clear sky,-27.1667,-58.4167,Hotel Tala Puera
458,Lucapa,AO,82.47,scattered clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
459,Meulaboh,ID,76.26,heavy intensity rain,4.1363,96.1285,Kost Pria
461,Moron,AR,80.29,clear sky,-34.6534,-58.6198,Hotel Morón
462,Malanje,AO,74.43,light rain,-9.5402,16.341,Malanje Hotel
465,Kudahuvadhoo,MV,82.98,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
467,Taoudenni,ML,86.27,overcast clouds,22.6783,-3.9836,
473,Sibolga,ID,77.72,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
474,Aitape,PG,78.51,light rain,-3.1374,142.3475,
476,Dhidhdhoo,MV,81.81,broken clouds,6.8833,73.1,Dhidhoo beach
479,Bocas Del Toro,PA,78.87,few clouds,9.3333,-82.25,Hotel Bocas del Toro
483,Mandla,IN,71.01,broken clouds,22.6,80.3833,Bison Resort
491,Nova Olimpia,BR,71.38,overcast clouds,-14.7972,-57.2881,Motel glamour
493,Pontianak,ID,76.98,heavy intensity rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
494,Makakilo City,US,74.28,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
495,Sarangani,PH,84.04,scattered clouds,5.4033,125.4636,Ballistic Islet
497,Lubango,AO,75.02,light rain,-14.9172,13.4925,Hotel Serra da Chela
499,Maragogi,BR,85.08,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
502,Harper,LR,85.3,scattered clouds,4.375,-7.7169,Screensaver
503,Maraa,BR,78.4,broken clouds,-1.8333,-65.3667,
507,Bambanglipuro,ID,76.91,moderate rain,-7.95,110.2833,Puri Brata
508,Inirida,CO,85.62,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
511,Tucuman,AR,80.42,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
514,Maumere,ID,82.17,overcast clouds,-8.6199,122.2111,Sylvia Hotel
515,Alugan,PH,79.68,overcast clouds,12.2188,125.4808,JM Lodge
517,Owando,CG,87.12,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
519,Soe,ID,71.62,overcast clouds,-9.8607,124.284,Dena Hotel
533,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
536,Esmeralda,CU,81.64,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
540,Upata,VE,82.15,broken clouds,8.0086,-62.3989,Posada Villa Nela
545,Morondava,MG,83.1,overcast clouds,-20.2833,44.2833,La Case Bambou
547,Port-Gentil,GA,81.14,light rain,-0.7193,8.7815,Fengshui Residence
548,Luanda,AO,82.72,scattered clouds,-8.8368,13.2343,Hotel Fórum
550,Fuerte Olimpo,PY,77.58,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
556,Palauig,PH,81.05,broken clouds,15.435,119.9045,Alperi Botique Resort
557,Longonjo,AO,73.0,light rain,-12.9067,15.2533,
559,Tabuk,PH,74.01,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
561,Sur,OM,76.64,clear sky,22.5667,59.5289,Sur Plaza Hotel
562,Buala,SB,79.75,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
566,Nosy Varika,MG,79.63,clear sky,-20.5833,48.5333,Hotel Volazara
569,Bowen,AU,75.65,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
573,Sao Miguel Do Araguaia,BR,83.32,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
574,Barahona,DO,84.02,few clouds,18.2085,-71.1008,Hotel Caribe
575,Boueni,YT,82.38,few clouds,-12.9025,45.0761,The feet in water
577,Tecoanapa,MX,75.85,clear sky,16.5167,-98.75,Hotel Manglares
582,Poum,NC,77.23,clear sky,-20.2333,164.0167,Gîte kajeon
583,Kandrian,PG,76.82,light rain,-6.2167,149.55,Kandrian Station
584,Bubaque,GW,83.68,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
590,Gorontalo,ID,76.98,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
591,Mali,GN,80.96,few clouds,12.079,-12.2982,Hotel La Dame de Mali
